class;wellLocation;filename;imageID;plateID;field;channel;filenameJPEG
NEGATIVE;B02;Week1_22123_B02_s1_w107447158-AC76-4844-8431-E6A954BD1174.tif;1;22123;s1;w1;temp/Week1_22123_B02_s1_w107447158-AC76-4844-8431-E6A954BD1174.jpeg
NEGATIVE;B02;Week1_22123_B02_s1_w23FDB0AC4-EA74-4D33-A7D4-8FFC4C9ED7C8.tif;2;22123;s1;w2;temp/Week1_22123_B02_s1_w23FDB0AC4-EA74-4D33-A7D4-8FFC4C9ED7C8.jpeg
NEGATIVE;B02;Week1_22123_B02_s1_w429636E34-C663-4E49-84B5-3EA429CAB4CE.tif;3;22123;s1;w4;temp/Week1_22123_B02_s1_w429636E34-C663-4E49-84B5-3EA429CAB4CE.jpeg
NEGATIVE;B02;Week1_22123_B02_s2_w14AB22A28-7EF5-461A-8956-A7F6A013F412.tif;4;22123;s2;w1;temp/Week1_22123_B02_s2_w14AB22A28-7EF5-461A-8956-A7F6A013F412.jpeg
NEGATIVE;B02;Week1_22123_B02_s2_w261187024-FDFF-4974-A9AC-B09821E1F0B0.tif;5;22123;s2;w2;temp/Week1_22123_B02_s2_w261187024-FDFF-4974-A9AC-B09821E1F0B0.jpeg
NEGATIVE;B02;Week1_22123_B02_s2_w424B5B29B-1CEE-4A43-88C3-0A7389B25DE9.tif;6;22123;s2;w4;temp/Week1_22123_B02_s2_w424B5B29B-1CEE-4A43-88C3-0A7389B25DE9.jpeg
NEGATIVE;B02;Week1_22123_B02_s3_w1655B02F9-3E1A-44E4-ADA1-5FE25B8935EE.tif;7;22123;s3;w1;temp/Week1_22123_B02_s3_w1655B02F9-3E1A-44E4-ADA1-5FE25B8935EE.jpeg
NEGATIVE;B02;Week1_22123_B02_s3_w20FD24170-F66E-419B-84A3-E33497787290.tif;8;22123;s3;w2;temp/Week1_22123_B02_s3_w20FD24170-F66E-419B-84A3-E33497787290.jpeg
NEGATIVE;B02;Week1_22123_B02_s3_w42FC6842F-711B-4C54-9153-06B657013145.tif;9;22123;s3;w4;temp/Week1_22123_B02_s3_w42FC6842F-711B-4C54-9153-06B657013145.jpeg
NEGATIVE;B02;Week1_22123_B02_s4_w1EB868A72-19FC-46BB-BDFA-66B8966A817C.tif;10;22123;s4;w1;temp/Week1_22123_B02_s4_w1EB868A72-19FC-46BB-BDFA-66B8966A817C.jpeg
NEGATIVE;B02;Week1_22123_B02_s4_w2EE226363-0BAC-443F-A41C-16C9C89FDDFA.tif;11;22123;s4;w2;temp/Week1_22123_B02_s4_w2EE226363-0BAC-443F-A41C-16C9C89FDDFA.jpeg
NEGATIVE;B02;Week1_22123_B02_s4_w41A954BC1-C02D-4D53-8786-1A192C4D5143.tif;12;22123;s4;w4;temp/Week1_22123_B02_s4_w41A954BC1-C02D-4D53-8786-1A192C4D5143.jpeg
SAMPLE;B03;Week1_22123_B03_s1_w114129FBE-AB04-4F79-B8AF-CFA7D5524D53.tif;13;22123;s1;w1;temp/Week1_22123_B03_s1_w114129FBE-AB04-4F79-B8AF-CFA7D5524D53.jpeg
SAMPLE;B03;Week1_22123_B03_s1_w2CAEC09A2-969B-48A9-BE0B-C6825D180EB4.tif;14;22123;s1;w2;temp/Week1_22123_B03_s1_w2CAEC09A2-969B-48A9-BE0B-C6825D180EB4.jpeg
SAMPLE;B03;Week1_22123_B03_s1_w41094DA98-6064-4EA2-B4A7-02A38208692F.tif;15;22123;s1;w4;temp/Week1_22123_B03_s1_w41094DA98-6064-4EA2-B4A7-02A38208692F.jpeg
SAMPLE;B03;Week1_22123_B03_s2_w1B41C8265-7501-433B-B901-C57F0A1A39B7.tif;16;22123;s2;w1;temp/Week1_22123_B03_s2_w1B41C8265-7501-433B-B901-C57F0A1A39B7.jpeg
SAMPLE;B03;Week1_22123_B03_s2_w25CEC2D43-E105-42BB-BC00-6962B3ADEBED.tif;17;22123;s2;w2;temp/Week1_22123_B03_s2_w25CEC2D43-E105-42BB-BC00-6962B3ADEBED.jpeg
SAMPLE;B03;Week1_22123_B03_s2_w45787A3F4-4DBD-45E1-B229-32BA1BFACAC6.tif;18;22123;s2;w4;temp/Week1_22123_B03_s2_w45787A3F4-4DBD-45E1-B229-32BA1BFACAC6.jpeg
SAMPLE;B03;Week1_22123_B03_s3_w1FD5D2AA2-BCCE-4C01-B0DE-58F6202CF6C8.tif;19;22123;s3;w1;temp/Week1_22123_B03_s3_w1FD5D2AA2-BCCE-4C01-B0DE-58F6202CF6C8.jpeg
